col_index,row_index,dist_km,model_m2,manual_all_m2,prec_all,rec_all,iou_all,manual_c23_m2,prec_c23,rec_c23,iou_c23,parking_share,model_over_manual
4,6,0.3354206147994569,73194.4,52323.1,0.5455,0.7631,0.4665,49832.5,0.5233,0.7686,0.452,0.0523231,1.3988926497092107
5,6,0.6703958525080368,55216.3,54359.5,0.6228,0.6326,0.4574,49707.3,0.5591,0.621,0.4168,0.0543595,1.0157617343794554
4,7,1.005352881147093,108407.4,74408.3,0.5631,0.8204,0.5013,69254.6,0.5235,0.8194,0.4693,0.0744083,1.456926176246467
4,5,1.1019435384964738,45147.1,26483.0,0.4048,0.6902,0.3426,13962.9,0.1706,0.5516,0.1498,0.026483,1.7047577691349167
5,7,1.16088674118464,170632.8,127896.2,0.6489,0.8657,0.5896,122407.7,0.6195,0.8636,0.5643,0.1278962,1.3341506628031168
5,5,1.245473071672632,103149.1,79116.8,0.6085,0.7933,0.5252,77614.6,0.5982,0.795,0.5182,0.0791168,1.3037572298171818
3,6,1.3325101795502028,115977.8,82639.9,0.6104,0.8566,0.5538,74318.9,0.5814,0.9072,0.5487,0.08263989999999999,1.403411669181594
3,7,1.6351791355699319,144298.8,109854.9,0.6497,0.8534,0.5844,96713.1,0.592,0.8833,0.549,0.10985489999999999,1.3135399513358075
6,6,1.6692376131897786,81924.5,39192.8,0.4432,0.9264,0.4281,36860.7,0.4195,0.9324,0.4072,0.0391928,2.0902946459553795
3,5,1.6962770857989558,60825.0,40990.3,0.5179,0.7685,0.448,37121.4,0.4885,0.8004,0.4354,0.0409903,1.483887651468762
6,7,1.9195264093223163,114291.5,70136.6,0.5202,0.8476,0.4757,63122.6,0.4677,0.8469,0.4312,0.07013660000000001,1.6295557526312936
6,5,1.9718333556589394,154368.5,112091.2,0.6247,0.8604,0.5672,110704.6,0.6174,0.861,0.5615,0.1120912,1.3771687697160884
4,8,1.977109466476016,39586.4,19005.5,0.3983,0.8295,0.3681,13944.5,0.3059,0.8685,0.2924,0.0190055,2.0828917944805454
5,8,2.0605546468503593,106885.7,84901.7,0.6696,0.843,0.5954,76658.7,0.6051,0.8437,0.5442,0.0849017,1.258934744533973
4,4,2.0775110433487027,42681.3,22054.8,0.4017,0.7775,0.3603,15420.9,0.3044,0.8424,0.288,0.0220548,1.9352385875183635
5,4,2.1570757393896365,55963.4,39397.6,0.6093,0.8655,0.5566,32451.8,0.5248,0.905,0.4974,0.0393976,1.420477389485654
2,6,2.332093430456289,59548.0,43401.3,0.6351,0.8714,0.5807,38202.4,0.5722,0.8919,0.535,0.043401300000000004,1.3720326349671552
3,8,2.360516518095467,116265.6,91920.3,0.6954,0.8795,0.6349,86667.6,0.6601,0.8855,0.6082,0.0919203,1.264852268758914
3,4,2.4452256593223214,26811.0,8825.9,0.2744,0.8336,0.2601,5764.0,0.1926,0.896,0.1884,0.0088259,3.0377638541111955
2,7,2.517317460149931,51368.4,24978.6,0.3933,0.8088,0.3599,20950.9,0.3296,0.8082,0.3057,0.0249786,2.0564963608849176
2,5,2.5574268985797164,110231.0,79329.8,0.6645,0.9233,0.6297,71617.8,0.6047,0.9308,0.5787,0.0793298,1.389528273107962
6,8,2.5656985526137204,144495.0,87560.7,0.5471,0.9028,0.5167,82108.3,0.5193,0.914,0.4951,0.08756069999999999,1.6502266427746695
6,4,2.643841779625036,20717.7,12773.6,0.4962,0.8048,0.4429,12422.4,0.4896,0.8166,0.4411,0.0127736,1.62191551324607
7,6,2.6689469495505227,51079.0,38122.6,0.6698,0.8975,0.6222,33867.7,0.6162,0.9294,0.5887,0.0381226,1.3398613945533622
7,7,2.832226199708165,121748.1,71206.9,0.5135,0.8779,0.4792,66643.2,0.4805,0.8779,0.4504,0.07120689999999999,1.7097795297927592
7,5,2.867934865494111,38779.4,23489.3,0.5371,0.8868,0.5027,22814.2,0.5267,0.8953,0.4962,0.023489299999999998,1.6509389381548196
4,9,2.9676908985316164,60551.9,44519.3,0.6357,0.8646,0.5781,40318.2,0.5859,0.8799,0.5425,0.044519300000000005,1.3601269561740639
5,9,3.0239234248662656,96645.8,63078.9,0.5592,0.8568,0.5114,51522.8,0.4701,0.8817,0.4422,0.06307890000000001,1.5321414926385843
2,8,3.038933138779795,221784.2,188065.4,0.7369,0.869,0.6633,181524.9,0.7184,0.8778,0.6531,0.1880654,1.1792929480914618
