# correlations
test,n,pearson_r,pearson_p,spearman_r,spearman_p
distance vs prec_all,100,-0.172,0.0873,-0.186,0.0637
parking_share vs prec_all,100,0.536,0.0,0.653,0.0
distance vs prec_all | controlling parking_share,100,0.186,0.0646,,
parking_share vs prec_all | controlling distance,100,0.54,0.0,,
distance vs rec_all,99,0.181,0.073,0.161,0.1124
parking_share vs rec_all,99,0.103,0.3125,0.084,0.4097
distance vs rec_all | controlling parking_share,99,0.289,0.0037,,
parking_share vs rec_all | controlling distance,99,0.25,0.0127,,
distance vs iou_all,100,-0.127,0.2081,-0.16,0.1114
parking_share vs iou_all,100,0.515,0.0,0.639,0.0
distance vs iou_all | controlling parking_share,100,0.229,0.0222,,
parking_share vs iou_all | controlling distance,100,0.54,0.0,,
distance vs parking_share,100,-0.562,0.0,-0.66,0.0

# distance bands (km from city centre)
band_km,n_cells,mean_dist_km,manual_km2,model_km2,mean_parking_share,mean_precision,mean_recall,mean_iou
<1,2,0.503,0.107,0.128,0.053,0.584,0.698,0.462
1-2,11,1.52,0.782,1.139,0.071,0.545,0.828,0.489
2-3,14,2.504,0.672,1.007,0.048,0.553,0.86,0.509
3-4,22,3.471,0.989,1.436,0.045,0.533,0.837,0.485
>4,51,5.36,0.71,1.169,0.014,0.485,0.858,0.449
