source,category,n_sampled,est_area_km2,ci_lo_km2,ci_hi_km2,pct_of_population,pct_ci_lo,pct_ci_hi,note
fn_other,not_parking_in_digimap,15,0.0313,0.0262,0.0376,41.8,35.0,50.3,
fn_other,irregular_layout,11,0.0174,0.0126,0.0233,23.3,16.9,31.1,
fn_other,obscured,4,0.0073,0.0017,0.0135,9.8,2.3,18.0,
fn_other,unusual_surface,5,0.0069,0.0032,0.0119,9.2,4.3,15.9,
fn_other,no_cars_present,3,0.0047,0.0047,0.0047,6.3,6.3,6.3,"stratum inspected in full, no sampling variance"
fn_other,lorry_van_lot,2,0.0039,0.0015,0.0086,5.2,2.1,11.5,
fn_other,no_markings,1,0.0028,0.0004,0.0073,3.7,0.6,9.8,
fn_other,small_awkward_lot,1,0.0006,0.0001,0.0018,0.8,0.1,2.4,
fp_other,grey_hardstanding,16,0.0843,0.0499,0.1219,21.7,12.8,31.4,
fp_other,private_driveway,15,0.0786,0.045,0.1177,20.2,11.6,30.3,
fp_other,real_parking_missed,13,0.0667,0.0366,0.1018,17.2,9.4,26.2,
fp_other,on_street,11,0.0572,0.0297,0.09,14.7,7.6,23.2,
fp_other,goods_yard,3,0.033,0.0062,0.0606,8.5,1.6,15.6,
fp_other,sports_court,4,0.0204,0.0062,0.04,5.2,1.6,10.3,
fp_other,unpaved_ground,3,0.0199,0.0005,0.044,5.1,0.1,11.3,
fp_other,building_house,2,0.0155,0.0005,0.0393,4.0,0.1,10.1,
fp_other,other,3,0.0128,0.0002,0.0284,3.3,0.1,7.3,
osm_disagree,not_parking,11,0.1651,0.138,0.1751,63.2,52.9,67.1,
osm_disagree,real_parking_missed,10,0.0493,0.0265,0.0821,18.9,10.2,31.5,
osm_disagree,on_street,4,0.0263,0.0057,0.0463,10.1,2.2,17.7,
osm_disagree,private_driveway,5,0.0204,0.0073,0.0388,7.8,2.8,14.9,
