scheme,error_pct
random half split,4.95946
random half split,-2.667338
random half split,-4.710509
random half split,8.022169
random half split,-3.104514
random half split,-6.375751
random half split,0.22178
random half split,4.371803
random half split,-2.447739
random half split,-1.478138
random half split,4.697414
random half split,-2.685274
random half split,-0.118944
random half split,1.207874
random half split,-2.671129
random half split,-2.996081
random half split,0.006909
random half split,0.417656
random half split,6.064697
random half split,0.304879
random half split,-0.125766
random half split,-5.667445
random half split,1.713482
random half split,-0.407246
random half split,-1.887799
random half split,2.774262
random half split,-0.115548
random half split,3.163625
random half split,-4.460138
random half split,4.98999
random half split,7.991561
random half split,-3.382949
random half split,-0.492319
random half split,-2.947973
random half split,-0.13032
random half split,3.956747
random half split,-5.543964
random half split,6.34198
random half split,-8.778264
random half split,-1.58123
random half split,6.06249
random half split,5.169791
random half split,2.313007
random half split,1.656106
random half split,3.343952
random half split,2.403544
random half split,0.783582
random half split,1.219567
random half split,-3.951533
random half split,-1.529117
random half split,-6.808486
random half split,-0.387392
random half split,-6.450509
random half split,-7.22066
random half split,-0.802963
random half split,-6.905686
random half split,3.990791
random half split,-5.211759
random half split,-0.545802
random half split,-2.423537
random half split,0.243842
random half split,-0.93507
random half split,4.461799
random half split,4.383017
random half split,0.861179
random half split,4.517801
random half split,5.455281
random half split,3.032871
random half split,-2.297383
random half split,-0.524516
random half split,-1.284424
random half split,3.462247
random half split,8.048891
random half split,-2.267594
random half split,-1.119257
random half split,-6.593111
random half split,-1.52101
random half split,10.214416
random half split,-0.514014
random half split,6.700088
random half split,11.732017
random half split,-4.482269
random half split,3.916494
random half split,9.160278
random half split,3.811498
random half split,0.277675
random half split,3.29452
random half split,5.895886
random half split,0.280753
random half split,4.324113
random half split,-8.995841
random half split,3.193053
random half split,-5.556094
random half split,4.482122
random half split,-3.015172
random half split,-3.457126
random half split,1.725429
random half split,5.854601
random half split,-1.675286
random half split,-3.058275
random half split,-4.733813
random half split,1.183417
random half split,-2.322684
random half split,1.919642
random half split,2.504808
random half split,4.381163
random half split,2.027217
random half split,4.679873
random half split,-0.675664
random half split,-4.882067
random half split,-1.328186
random half split,-3.796194
random half split,-1.550693
random half split,-2.310238
random half split,3.362418
random half split,3.987821
random half split,5.131001
random half split,-0.647674
random half split,7.814582
random half split,3.190263
random half split,-0.033772
random half split,4.497995
random half split,-0.850757
random half split,-4.306626
random half split,2.769433
random half split,0.085801
random half split,2.588667
random half split,7.840456
random half split,-4.069717
random half split,5.013938
random half split,5.970949
random half split,1.282721
random half split,-1.006394
random half split,3.164925
random half split,-3.145722
random half split,-0.978803
random half split,-2.161148
random half split,-1.206695
random half split,-8.461373
random half split,1.237709
random half split,5.431501
random half split,7.054544
random half split,-2.61338
random half split,-6.925211
random half split,3.089816
random half split,1.768811
random half split,-2.290215
random half split,-9.485542
random half split,11.423376
random half split,2.599617
random half split,4.710339
random half split,-5.793078
random half split,7.895478
random half split,1.378831
random half split,0.179084
random half split,7.131995
random half split,-9.945312
random half split,7.194432
random half split,3.811525
random half split,-0.729554
random half split,-0.816632
random half split,1.426383
random half split,1.111596
random half split,-1.017219
random half split,-3.047245
random half split,-0.828962
random half split,-0.513598
random half split,-0.996984
random half split,-0.71713
random half split,-6.569923
random half split,-4.748473
random half split,6.340041
random half split,-2.846468
random half split,0.631003
random half split,-0.799605
random half split,-3.33399
random half split,6.693991
random half split,-6.008419
random half split,-1.353128
random half split,-2.611647
random half split,-3.269807
random half split,-5.98962
random half split,4.152974
random half split,-0.83809
random half split,0.828103
random half split,-2.71829
random half split,-1.649487
random half split,2.952921
random half split,6.309681
random half split,-1.938818
random half split,0.309825
random half split,-3.127138
random half split,-2.775192
random half split,1.01189
random half split,-5.68501
random half split,-0.243445
random half split,-3.634089
random half split,0.045552
random half split,9.117952
random half split,-2.056578
leave one distance band out,-20.103061
leave one distance band out,-3.508346
leave one distance band out,0.084757
leave one distance band out,-4.267646
leave one distance band out,13.20221
leave one cell out,-6.626416
leave one cell out,-32.495332
leave one cell out,-2.709444
leave one cell out,14.040637
leave one cell out,-11.246379
leave one cell out,-13.16218
leave one cell out,-6.376634
leave one cell out,-12.60299
leave one cell out,40.349609
leave one cell out,-0.85839
leave one cell out,9.098924
leave one cell out,-8.239289
leave one cell out,39.497857
leave one cell out,-16.234585
leave one cell out,29.569972
leave one cell out,-5.143724
leave one cell out,-8.424596
leave one cell out,-15.861504
leave one cell out,103.550317
leave one cell out,37.811773
leave one cell out,-7.318074
leave one cell out,10.580353
leave one cell out,8.410956
leave one cell out,-10.582221
leave one cell out,14.61089
leave one cell out,10.397211
leave one cell out,-9.231879
leave one cell out,2.424635
leave one cell out,-22.210237
leave one cell out,63.018114
leave one cell out,16.089085
leave one cell out,36.563836
leave one cell out,-10.833376
leave one cell out,5.068819
leave one cell out,80.70493
leave one cell out,-12.963955
leave one cell out,-4.425191
leave one cell out,-20.222786
leave one cell out,66.161123
leave one cell out,42.25071
leave one cell out,-1.062168
leave one cell out,23.987504
leave one cell out,1.92373
leave one cell out,-13.070951
leave one cell out,27.904957
leave one cell out,-11.802347
leave one cell out,-12.735222
leave one cell out,-14.375786
leave one cell out,21.97894
leave one cell out,-1.002106
leave one cell out,57.644109
leave one cell out,94.292149
leave one cell out,70.013525
leave one cell out,12.459202
leave one cell out,28.554578
leave one cell out,32.882233
leave one cell out,50.899556
leave one cell out,6.978288
leave one cell out,80.451745
leave one cell out,22.65334
leave one cell out,10.658058
leave one cell out,20.108146
leave one cell out,13.204394
leave one cell out,27.149995
leave one cell out,-0.896822
leave one cell out,-7.131654
leave one cell out,31.417443
leave one cell out,4.595295
