scheme,n_tests,mean_error_pct,sd_pct,median_error_pct,p05_pct,p95_pct,within_10pct,within_25pct,cells_held_out,note
random half split,200,0.3,4.3,-0.1,-6.6,7.8,98.0,100.0,50,200 splits
leave one distance band out,5,-2.9,11.9,-3.5,-16.9,10.6,,,,"only 5 tests, so no share is quoted; see the per-band errors below. the <1 km band holds only 2 cells"
leave one cell out,99,16.5,32.8,8.4,-22.0,80.5,29.0,63.0,1,n = 99; the cell with no labelled parking is excluded. the mean sits above the median because relative error is unstable where a cell holds little parking; median absolute error 0.0035 km2 per cell against a mean labelled 0.0329 km2
,,,,,,,,,,
whole-area factor p/r,,0.6682,,,,,,,,
,,,,,,,,,,
by distance band,n_cells,error_pct,,,,,,,,
<1,2,-20.1,,,,,,,,
1-2,11,-3.5,,,,,,,,
2-3,14,0.1,,,,,,,,
3-4,22,-4.3,,,,,,,,
>4,51,13.2,,,,,,,,
