category,area_km2,pct_of_FP,pct_of_standalone
TOTAL_FP,2.0937,100.0,
dilation_FP_within_2m,0.3616,17.3,
standalone_FP_beyond_2m,1.732,82.7,
dilation_FP_within_5m,0.6037,28.8,
standalone_FP_beyond_5m,1.49,71.2,
dilation_FP_within_10m,0.7607,36.3,
standalone_FP_beyond_10m,1.333,63.7,
--- standalone(>5m) breakdown ---,1.49,71.2,
building_FP,0.0,0.0,0.0
road_adjacent_FP,0.256,12.2,17.2
osm_parking_FP,0.0857,4.1,5.8
sports_courts_FP,0.0524,2.5,3.5
industrial_yard_FP,0.6282,30.0,42.2
brownfield_bare_FP,0.0281,1.3,1.9
other_unexplained_FP,0.4396,21.0,29.5
