scope,n,median_last_edit_year,earliest,latest,note
all OSM parking in the study area,985,2024,2016,2026,
sampled: not_parking,11,2025,2020,2026,8 of 11 edited 2024 or later
sampled: on_street,4,2020,2017,2024,1 of 4 edited 2024 or later
sampled: private_driveway,5,2021,2021,2024,1 of 5 edited 2024 or later
sampled: real_parking_missed,10,2022,2017,2025,4 of 10 edited 2024 or later
,,,,,
year,count,,,,all OSM parking
2016,15,,,,
2017,22,,,,
2018,22,,,,
2019,64,,,,
2020,67,,,,
2021,142,,,,
2022,39,,,,
2023,54,,,,
2024,354,,,,
2025,130,,,,
2026,76,,,,
