source,category,n_sampled,est_area_km2,pct_of_population
fn_other,not_parking_in_digimap,15,0.0313,41.8
fn_other,irregular_layout,11,0.0174,23.3
fn_other,obscured,4,0.0073,9.8
fn_other,unusual_surface,5,0.0069,9.2
fn_other,no_cars_present,3,0.0047,6.3
fn_other,lorry_van_lot,2,0.0039,5.2
fn_other,no_markings,1,0.0028,3.7
fn_other,small_awkward_lot,1,0.0006,0.8
fn_other,TOTAL,42,0.0748,100.0
fp_other,grey_hardstanding,16,0.0843,21.7
fp_other,private_driveway,15,0.0786,20.2
fp_other,real_parking_missed,13,0.0667,17.2
fp_other,on_street,11,0.0572,14.7
fp_other,goods_yard,3,0.033,8.5
fp_other,sports_court,4,0.0204,5.2
fp_other,unpaved_ground,3,0.0199,5.1
fp_other,building_house,2,0.0155,4.0
fp_other,other,3,0.0128,3.3
fp_other,TOTAL,70,0.3883,100.0
osm_disagree,not_parking,11,0.1651,63.2
osm_disagree,real_parking_missed,10,0.0493,18.9
osm_disagree,on_street,4,0.0263,10.1
osm_disagree,private_driveway,5,0.0204,7.8
osm_disagree,TOTAL,30,0.261,100.0
