sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
os_s_116,osm_disagree,small_100_300,240.9,0.0,c2r4,427695.4,435851.9,private_driveway,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_s_117,osm_disagree,small_100_300,206.0,0.0,c1r4,426487.1,435428.0,real_parking_missed,2,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_s_118,osm_disagree,small_100_300,296.8,0.0,c1r0,426451.5,439371.7,real_parking_missed,2,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_s_119,osm_disagree,small_100_300,161.7,0.0,c0r6,425285.7,433807.1,on_street,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_s_120,osm_disagree,small_100_300,167.2,0.0,c5r8,430797.0,431907.9,,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_121,osm_disagree,medium_300_1k,788.9,0.0,c7r3,432513.8,436635.5,on_street,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_122,osm_disagree,medium_300_1k,464.5,0.0,c5r1,430730.3,438777.5,real_parking_missed,2,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_123,osm_disagree,medium_300_1k,909.1,0.0,c1r3,426875.4,436912.4,on_street,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_124,osm_disagree,medium_300_1k,789.9,0.0,c5r8,430082.4,431040.7,real_parking_missed,2,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_125,osm_disagree,medium_300_1k,572.7,0.0,c0r1,425438.8,438847.1,real_parking_missed,1,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_126,osm_disagree,medium_300_1k,462.9,0.0,c2r3,427373.7,436906.2,private_driveway,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_127,osm_disagree,medium_300_1k,519.4,0.0,c8r3,433803.4,436564.5,real_parking_missed,2,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_128,osm_disagree,medium_300_1k,350.0,0.0,c1r4,426862.1,435971.0,private_driveway,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_129,osm_disagree,medium_300_1k,368.1,0.0,c5r5,430592.0,434817.5,private_driveway,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_m_130,osm_disagree,medium_300_1k,414.2,0.0,c1r4,426034.8,435613.6,on_street,,,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_131,osm_disagree,large_1k+,1045.5,0.0,c1r7,426461.2,432318.2,not_parking,,vacant_ground,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_132,osm_disagree,large_1k+,2243.3,0.0,c5r6,430614.8,433640.7,real_parking_missed,2,rooftop,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_133,osm_disagree,large_1k+,1174.5,0.0,c5r6,430905.7,433637.7,not_parking,,other_landuse,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_134,osm_disagree,large_1k+,13998.6,0.0,c4r4,429131.5,435390.4,not_parking,,vacant_ground,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_135,osm_disagree,large_1k+,1098.1,0.0,c2r5,427867.0,434060.3,not_parking,,vacant_ground,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_136,osm_disagree,large_1k+,1376.4,0.0,c2r3,427420.9,436997.8,real_parking_missed,,2,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
os_l_137,osm_disagree,large_1k+,3397.8,0.0,c5r5,430066.0,434091.6,not_parking,,vacant_ground,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
