folder,input_files,features,output_file
tif_original/Download_2994141/getmapping_rgb_25cm_6421041,25,2145,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_original_Download_2994141_getmapping_rgb_25cm_6421041_merged.geojson
tif_original/Download_2994141/getmapping_rgb_25cm_6421042,25,2286,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_original_Download_2994141_getmapping_rgb_25cm_6421042_merged.geojson
tif_original/Download_2994141/getmapping_rgb_25cm_6421043,25,1300,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_original_Download_2994141_getmapping_rgb_25cm_6421043_merged.geojson
tif_original/Download_2994141/getmapping_rgb_25cm_6421044,25,1083,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_original_Download_2994141_getmapping_rgb_25cm_6421044_merged.geojson
tif_removal/Download_2994141/getmapping_rgb_25cm_6421041,25,2579,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_removal_Download_2994141_getmapping_rgb_25cm_6421041_merged.geojson
tif_removal/Download_2994141/getmapping_rgb_25cm_6421042,25,2762,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_removal_Download_2994141_getmapping_rgb_25cm_6421042_merged.geojson
tif_removal/Download_2994141/getmapping_rgb_25cm_6421043,25,1539,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_removal_Download_2994141_getmapping_rgb_25cm_6421043_merged.geojson
tif_removal/Download_2994141/getmapping_rgb_25cm_6421044,25,1300,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/tif_removal_Download_2994141_getmapping_rgb_25cm_6421044_merged.geojson
original,100,6814,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/original_merged.geojson
removal,100,8180,/Users/hou/Desktop/dissertation/Parking/calculate/output_files_merged/removal_merged.geojson
