cell,id,col_index,row_index,left,bottom,right,top,dist_km,band,manual_m2,split
c0r1,2,0,1,425000.0,438000.0,426000.0,439000.0,6.654,>4,19834.2,test
c0r3,4,0,3,425000.0,436000.0,426000.0,437000.0,5.299,>4,7037.9,test
c0r5,6,0,5,425000.0,434000.0,426000.0,435000.0,4.458,>4,10670.7,test
c0r6,7,0,6,425000.0,433000.0,426000.0,434000.0,4.332,>4,9459.0,test
c0r8,9,0,8,425000.0,431000.0,426000.0,432000.0,4.75,>4,36125.2,test
c1r3,14,1,3,426000.0,436000.0,427000.0,437000.0,4.518,>4,11971.5,test
c1r5,16,1,5,426000.0,434000.0,427000.0,435000.0,3.494,3-4,14536.1,test
c1r6,17,1,6,426000.0,433000.0,427000.0,434000.0,3.332,3-4,40889.4,test
c1r9,20,1,9,426000.0,430000.0,427000.0,431000.0,4.45,>4,11906.2,test
c2r0,21,2,0,427000.0,439000.0,428000.0,440000.0,6.485,>4,3841.8,test
c2r3,24,2,3,427000.0,436000.0,428000.0,437000.0,3.84,3-4,15031.1,test
c2r6,27,2,6,427000.0,433000.0,428000.0,434000.0,2.333,2-3,43401.3,test
c2r9,30,2,9,427000.0,430000.0,428000.0,431000.0,3.76,3-4,51349.6,test
c3r0,31,3,0,428000.0,439000.0,429000.0,440000.0,6.196,>4,3561.5,test
c3r2,33,3,2,428000.0,437000.0,429000.0,438000.0,4.264,>4,10044.1,test
c3r3,34,3,3,428000.0,436000.0,429000.0,437000.0,3.329,3-4,6909.9,test
c3r5,36,3,5,428000.0,434000.0,429000.0,435000.0,1.697,1-2,40990.3,test
c3r7,38,3,7,428000.0,432000.0,429000.0,433000.0,1.635,1-2,109854.9,test
c3r9,40,3,9,428000.0,430000.0,429000.0,431000.0,3.236,3-4,64309.6,test
c4r0,41,4,0,429000.0,439000.0,430000.0,440000.0,6.06,>4,12762.7,test
c4r1,42,4,1,429000.0,438000.0,430000.0,439000.0,5.062,>4,32632.8,test
c4r2,43,4,2,429000.0,437000.0,430000.0,438000.0,4.065,>4,8609.0,test
c4r6,47,4,6,429000.0,433000.0,430000.0,434000.0,0.336,<1,52323.1,test
c4r7,48,4,7,429000.0,432000.0,430000.0,433000.0,1.005,1-2,74408.3,test
c4r9,50,4,9,429000.0,430000.0,430000.0,431000.0,2.968,2-3,44519.3,test
c5r2,53,5,2,430000.0,437000.0,431000.0,438000.0,4.106,>4,6508.2,test
c5r3,54,5,3,430000.0,436000.0,431000.0,437000.0,3.123,3-4,18675.5,test
c5r8,59,5,8,430000.0,431000.0,431000.0,432000.0,2.06,2-3,84901.7,test
c6r4,65,6,4,431000.0,435000.0,432000.0,436000.0,2.644,2-3,12773.6,test
