model,category,standalone_fp_km2
A zero-shot,building,0.0762
A zero-shot,osm_parking,0.0578
A zero-shot,sports,0.0241
A zero-shot,road_wide,0.2164
A zero-shot,curtilage,0.1947
A zero-shot,brownfield,0.0175
A zero-shot,industrial,0.2363
A zero-shot,other,0.1307
B generic FT,building,0.0172
B generic FT,osm_parking,0.0331
B generic FT,sports,0.0024
B generic FT,road_wide,0.0402
B generic FT,curtilage,0.0472
B generic FT,brownfield,0.0141
B generic FT,industrial,0.0664
B generic FT,other,0.0229
C targeted e12 (best IoU),building,0.012
C targeted e12 (best IoU),osm_parking,0.0346
C targeted e12 (best IoU),sports,0.0006
C targeted e12 (best IoU),road_wide,0.0477
C targeted e12 (best IoU),curtilage,0.0573
C targeted e12 (best IoU),brownfield,0.0145
C targeted e12 (best IoU),industrial,0.0664
C targeted e12 (best IoU),other,0.027
D targeted e7 (best recall),building,0.0218
D targeted e7 (best recall),osm_parking,0.0397
D targeted e7 (best recall),sports,0.0029
D targeted e7 (best recall),road_wide,0.0777
D targeted e7 (best recall),curtilage,0.0975
D targeted e7 (best recall),brownfield,0.0161
D targeted e7 (best recall),industrial,0.1002
D targeted e7 (best recall),other,0.0453
